
Full Link Report

Report Save Time: 2024-10-04 09:00:31   |   End Date: 2024-10-04 00:00:00

Link Name,Site A Name,Site A Location,Site A IP,Site A Physical Port,Site Z Name,Site Z Location,Site Z IP,Site Z Physical Port,Link Configuration,Site A Radio,Site Z Radio,Site A Tx Freq [MHz],Site Z Tx Freq [MHz],Site A Tx Freq Min [MHz],Site Z Tx Freq Min [MHz],Site A Tx Freq Max [MHz],Site Z Tx Freq Max [MHz],ATPC,Site A Radio Link ID,Site Z Radio Link ID,Site A Max Power (Preset) [dBm],Site Z Max Power (Preset) [dBm],Site A Tx Power (Current) [dBm],Site Z Tx Power (Current) [dBm],Site A Rx Level (Current) [dBm],Site Z Rx Level (Current) [dBm],Site A Max Tx Power (Last 24 h) [dBm],Site Z Max Tx Power (Last 24 h) [dBm],Site A Min Tx Power (Last 24 h) [dBm],Site Z Min Tx Power (Last 24 h) [dBm],Site A Max Rx Level (Last 24 h) [dBm],Site Z Max Rx Level (Last 24 h) [dBm],Site A Min Rx Level (Last 24 h) [dBm],Site Z Min Rx Level (Last 24 h) [dBm],Site A Radio Script,Site Z Radio Script,MRMC Script Operational Mode,MRMC Script Profile,MRMC Script Maximum Profile,MRMC Script Minimum Profile,Site A MRMC Threshold 1,Site Z MRMC Threshold 1,Site A MRMC Threshold 2,Site Z MRMC Threshold 2,Site A Above MRMC Threshold 1 (Last 24 h) [sec],Site Z Above MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 1 (Last 24 h) [sec],Site Z Below MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 2 (Last 24 h) [sec],Site Z Below MRMC Threshold 2 (Last 24 h) [sec],Site A Radio Script Max Capacity [Mb/s],Site Z Radio Script Max Capacity [Mb/s],Site A Max HW Radio Capacity [Mb/s],Site Z Max HW Radio Capacity [Mb/s],Total Link Supported Capacity [Mb/s],Site A Max Ethernet Capacity [Mb/s],Site Z Max Ethernet Capacity [Mb/s],Site A Peak Capacity (Last 24 h) [Mb/s],Site Z Peak Capacity (Last 24 h) [Mb/s],Site A Avg Capacity (Last 24 h) [Mb/s],Site Z Avg Capacity (Last 24 h) [Mb/s],Site A Capacity Exceeded (Last 24 h) [sec],Site Z Capacity Exceeded (Last 24 h) [sec],Site A Peak Throughput (Last 24 h) [Mb/s],Site Z Peak Throughput (Last 24 h) [Mb/s],Site A Avg Throughput (Last 24 h) [Mb/s],Site Z Avg Throughput (Last 24 h) [Mb/s],Site A Min Throughput (Last 24 h) [Mb/s],Site Z Min Throughput (Last 24 h) [Mb/s],Site A Throughput Exceeded (Last 24 h) [sec],Site Z Throughput Exceeded (Last 24 h) [sec],Site A Peak Utilization (Last 24 h) [%],Site Z Peak Utilization (Last 24 h) [%],Site A Avg Utilization (Last 24 h) [%],Site Z Avg Utilization (Last 24 h) [%],Site A Utilization Threshold 1,Site Z Utilization Threshold 1,Site A Utilization Threshold 2,Site Z Utilization Threshold 2,Site A Utilization Threshold 3,Site Z Utilization Threshold 3,Site A Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site A Below Utilization Threshold 3 (Last 24 h) [sec],Site Z Below Utilization Threshold 3 (Last 24 h) [sec],Site A Max E1/T1,Site Z Max E1/T1,Site A Active E1/T1,Site Z Active E1/T1,Site A E1/T1 Utilization [%],Site Z E1/T1 Utilization [%],Site A Frame Error Rate (Last 24 h) [%],Site Z Frame Error Rate (Last 24 h) [%]
"INKA001025_KBAN_I_C_I2C1 - INKA003673_KBAN_I_C_I2C2","INKA001025_KBAN_I_C_I2C1","INKA001025","2402:8100:4000:0:0:f:1f00:7c5","Slot 2 / Port 1","INKA003673_KBAN_I_C_I2C2","INKA003673","2402:8100:4000:0:0:f:1f00:7c4","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14767","15187","14697","15117","14921","15341","Disable","1","1","18","18","8","8","-30","-30","8","8","8","8","-29","-30","-32","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","31","178","1","18","74460","84149","30","175","1","17","0","0","70627","83679","6","36","0","2","0","0","0","0","0","0","0","0","5479","75727","0","0","80920","10672","135","135","0","0","0","0","0","0"
"INKL301580_MLYA_I_C_I2C1 - INKL023538_MLYA_I_C_I2C1","INKL301580_MLYA_I_C_I2C1","INKL301580","2402:8100:4000:0:0:1:1f40:2222","Slot 2 / Port 1","INKL023538_MLYA_I_C_I2C1","INKL023538","2402:8100:4000:0:0:1:1f40:2221","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14879","15299","14697","15117","14921","15341","Disable","1","1","20","20","16","16","-31","-32","16","16","16","16","-30","-32","-32","-34","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","84","256","3","40","0","0","82","253","3","39","0","0","0","0","18","56","0","8","0","0","0","0","0","0","0","0","35637","80129","0","0","50762","6270","125","125","0","0","0","0","0","0"
"INKL015752_MUVA_I_C_I2C1 - INKL036197_MUVA_I_C_I2C2","INKL015752_MUVA_I_C_I2C1","INKL015752","2402:8100:4000:0:0:1:1f40:1245","Slot 2 / Port 2","INKL036197_MUVA_I_C_I2C2","INKL036197","2402:8100:4000:0:0:1:1f40:1244","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15299","14879","15117","14697","15341","14921","Disable","1","1","18","18","18","18","-32","-32","18","18","18","18","-31","-32","-33","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","93","266","8","83","0","0","90","261","7","82","0","0","0","0","18","54","1","16","0","0","0","0","0","0","0","0","66297","84831","0","0","20102","1568","135","135","0","0","0","0","0","0"
"INKA007663_KBAN_I_C_I2C1 - INKA004524_KBAN_I_C_I2C2","INKA007663_KBAN_I_C_I2C1","INKA007663","2402:8100:4000:0:0:f:1f00:5a5","Slot 2 / Port 1","INKA004524_KBAN_I_C_I2C2","INKA004524","2402:8100:4000:0:0:f:1f00:5a4","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14767","15187","14697","15117","14921","15341","Disable","1","1","18","18","4","4","-30","-30","4","4","4","4","-29","-30","-32","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","51","240","8","57","86301","86265","50","236","7","56","0","0","85988","86171","10","49","0","10","0","0","0","0","0","0","0","0","66830","84029","0","0","19569","2371","135","135","0","0","0","0","0","0"
"INKA001753_KBAN_I_C_I2C3 - INKA008933_KBAN_I_C_I2C1","INKA001753_KBAN_I_C_I2C3","INKA001753","2402:8100:4000:0:0:f:1f00:2229","Slot 2 / Port 2","INKA008933_KBAN_I_C_I2C1","INKA008933","2402:8100:4000:0:0:f:1f00:2228","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","21294","22526","21200","22400","21800","23020","Disable","1","1","16","16","5","5","-30","-30","5","5","5","5","-30","-29","-33","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","238","67","72","9","0","0","234","65","71","8","0","0","0","0","48","13","14","1","0","0","0","0","0","0","0","0","84105","68285","0","0","2294","18114","135","135","0","0","0","0","0","0"
"INKA205072_KBAN_I_C_I2C1 - IDKA108183_KBAN_I_C_I2C2","INKA205072_KBAN_I_C_I2C1","INKA205072","2402:8100:4000:0:0:f:1f00:ce6","Slot 2 / Port 1","IDKA108183_KBAN_I_C_I2C2","IDKA108183","2402:8100:4000:0:0:f:1f00:ce5","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14767","15187","14697","15117","14921","15341","Disable","1","1","18","18","10","10","-30","-30","10","10","10","10","-29","-29","-31","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","47","145","1","13","0","0","46","142","1","13","0","0","0","0","9","29","0","2","0","0","0","0","0","0","0","0","11936","55541","0","0","74463","30858","135","135","0","0","0","0","0","0"
"INKL151209_MULL_I_C_I2C1 - INKL034360_MULL_I_C_I2C2","INKL151209_MULL_I_C_I2C1","INKL151209","2402:8100:4000:0:0:1:1f40:73","Slot 2 / Port 2","INKL034360_MULL_I_C_I2C2","INKL034360","2402:8100:4000:0:0:1:1f40:72","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14935","14515","14921","14501","15145","14725","Disable","1","1","20","20","18","18","-35","-33","18","18","18","18","-34","-33","-35","-34","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","63","228","6","64","0","0","61","225","5","63","0","0","0","0","13","50","0","13","0","0","0","0","0","0","0","0","64654","84328","0","0","21745","2071","125","125","0","0","0","0","0","0"
"INKL046179_KZDE_I_C_I2C1 - INKL025314_KZDE_I_C_I2C1","INKL046179_KZDE_I_C_I2C1","INKL046179","2402:8100:4000:0:0:1:1f40:6f1","Slot 2 / Port 2","INKL025314_KZDE_I_C_I2C1","INKL025314","2402:8100:4000:0:0:1:1f40:6f0","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15299","14879","15117","14697","15341","14921","Disable","1","1","18","18","9","9","-29","-31","9","9","9","9","-29","-30","-30","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","53","238","6","52","0","0","52","234","5","51","0","0","0","0","10","48","0","10","0","0","0","0","0","0","0","0","59144","75731","0","0","27256","10668","135","135","0","0","0","0","0","0"
"INKA001472_KBAN_I_C_I2C1 - INKA000132_KBAN_I_C_I2C2","INKA001472_KBAN_I_C_I2C1","INKA001472","2402:8100:4000:0:0:f:1f00:427","Slot 2 / Port 2","INKA000132_KBAN_I_C_I2C2","INKA000132","2402:8100:4000:0:0:f:1f00:426","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15159","14739","15117","14697","15341","14921","Disable","1","1","18","18","2","2","-29","-27","2","2","2","2","-28","-26","-36","-34","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","40","163","0","7","24914","67441","40","161","0","7","0","0","21762","66749","8","33","0","0","0","0","0","0","0","0","0","0","781","44749","0","0","85618","41651","135","135","0","0","0","0","0","0"
"INKA002808_KBAN_I_C_I2C1 - INKA006792_KBAN_I_C_I2C2","INKA002808_KBAN_I_C_I2C1","INKA002808","2402:8100:4000:0:0:f:1f00:2ec5","Slot 2 / Port 1","INKA006792_KBAN_I_C_I2C2","INKA006792","2402:8100:4000:0:0:f:1f00:2ec4","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","21294","22526","21200","22400","21800","23020","Disable","1","1","16","16","8","8","-34","-35","8","8","8","8","-33","-34","-38","-39","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","0","0","0","0","86399","86400","135","135","0","0","0","0","0","0"
"INKL081124_TRSR_I_C_I2C1 - INKL001205_TRSR_I_C_I2C1","INKL081124_TRSR_I_C_I2C1","INKL081124","2402:8100:4000:0:0:1:1f40:2633","Slot 2 / Port 1","INKL001205_TRSR_I_C_I2C1","INKL001205","2402:8100:4000:0:0:1:1f40:2632","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15327","14907","15117","14697","15341","14921","Disable","1","1","20","20","13","13","-29","-30","13","13","13","13","-28","-28","-30","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","7","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","200.96","200.96","41","227","5","48","0","0","40","223","5","47","0","0","0","0","10","56","0","11","100","100","0","0","0","0","0","0","61840","80479","0","0","24559","5921","111","111","0","0","0","0","0","0"
"IDKA102351_KBAN_I_C_I2C1 - IDKA103543_KBAN_I_C_I2C2","IDKA102351_KBAN_I_C_I2C1","IDKA102351","2402:8100:4000:0:0:f:1f00:2e25","Slot 2 / Port 2","IDKA103543_KBAN_I_C_I2C2","IDKA103543","2402:8100:4000:0:0:f:1f00:2e24","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15159","14739","15117","14697","15341","14921","Disable","1","1","18","18","7","7","-30","-29","7","7","7","7","-29","-28","-31","-30","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","42","148","1","17","0","0","41","146","0","16","0","0","0","0","8","30","0","2","100","0","0","0","0","0","0","0","4609","73233","0","0","81790","13166","135","135","0","0","0","0","0","0"
"INKA005569_KBAN_I_C_I2C1 - IDKA104597_KBAN_I_C_I2C1","INKA005569_KBAN_I_C_I2C1","INKA005569","2402:8100:4000:0:0:f:1f00:2c3","Slot 2 / Port 1","IDKA104597_KBAN_I_C_I2C1","IDKA104597","2402:8100:4000:0:0:f:1f00:2c2","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","18","18","8","8","-31","-30","8","8","8","8","-30","-29","-32","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","45","267","1","17","0","0","44","263","1","16","0","0","0","0","9","54","0","2","0","0","0","0","0","0","0","0","9849","68007","0","0","76550","18393","135","135","0","0","0","0","0","0"
"INKL099036_BALU_I_C_I2C2 - IDKL101725_BALU_I_C_I2C2","INKL099036_BALU_I_C_I2C2","INKL099036","2402:8100:4000:0:0:1:1f40:29","Slot 2 / Port 2","IDKL101725_BALU_I_C_I2C2","IDKL101725","2402:8100:4000:0:0:1:1f40:28","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14893","15313","14725","15145","14893","15313","Disable","1","1","20","20","17","17","-30","-29","17","17","17","17","-30","-29","-31","-30","mdN_A5656X_121_1502","mdN_A5656X_121_1502","Adaptive","N/A","9","0","0","0","0","0","86400","86400","0","0","0","0","489.311","489.311","672.601","672.601","672.601","464.85","464.85","75","382","13","138","0","0","72","375","12","135","0","0","0","0","7","40","0","13","100","100","0","0","0","0","0","0","61905","85995","0","0","24495","405","258","258","0","0","0","0","0","0"
"INKA007671_KBAN_I_C_I2C2 - INKA007338_KBAN_I_C_I2C1","INKA007671_KBAN_I_C_I2C2","INKA007671","2402:8100:4000:0:0:f:1f00:24c7","Slot 2 / Port 1","INKA007338_KBAN_I_C_I2C1","INKA007338","2402:8100:4000:0:0:f:1f00:24c6","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15187","14767","15117","14697","15341","14921","Disable","1","1","18","18","9","9","-38","-42","9","9","9","9","-38","-41","-40","-44","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86400","86399","135","135","0","0","0","0","0","0"
"INKL301376_KOND_I_C_I2C1 - INKL300038_KZDE_I_C_I2C1","INKL301376_KOND_I_C_I2C1","INKL301376","2402:8100:4000:0:0:1:1f40:ed3","Slot 2 / Port 1","INKL300038_KZDE_I_C_I2C1","INKL300038","2402:8100:4000:0:0:1:1f40:ed2","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15299","14879","15117","14697","15341","14921","Disable","1","1","18","18","14","14","-33","-31","14","14","14","14","-33","-31","-35","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","53","328","12","121","0","0","50","323","11","119","0","0","0","0","10","66","1","23","0","0","0","0","0","0","0","0","73949","84895","0","0","12450","1504","135","135","0","0","0","0","0","0"
"INKL093520_Velu_I_C_I2C1 - INKL015169_Velu_I_C_I2C1","INKL093520_Velu_I_C_I2C1","INKL093520","2402:8100:4000:0:0:1:1f40:1051","Slot 2 / Port 2","INKL015169_Velu_I_C_I2C1","INKL015169","2402:8100:4000:0:0:1:1f40:1050","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14935","14515","14921","14501","15145","14725","Disable","1","1","20","20","16","16","-35","-30","16","16","16","16","-34","-29","-36","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","105","241","6","64","0","0","103","236","6","63","0","0","0","0","23","52","0","13","0","0","0","0","0","0","0","0","64959","83065","0","0","21440","3334","125","125","0","0","0","0","0","0"
"INKA001129_KBAN_I_C_I2C2 - INKA001805_KBAN_I_C_I2C1","INKA001129_KBAN_I_C_I2C2","INKA001129","2402:8100:4000:0:0:f:1f00:2288","Slot 2 / Port 2","INKA001805_KBAN_I_C_I2C1","INKA001805","2402:8100:4000:0:0:f:1f00:2287","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","21294","22526","21200","22400","21800","23020","Disable","1","1","16","16","8","8","-29","-28","8","8","8","8","-29","-27","-41","-39","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","145","36","15","0","0","0","143","36","15","0","0","0","0","0","29","7","2","0","100","100","0","0","0","0","0","0","70730","4047","0","0","15670","82353","135","135","0","0","0","0","0","0"
"INKA004142_KBAN_I_C_I2C2 - INKA005390_KBAN_I_C_I2C1","INKA004142_KBAN_I_C_I2C2","INKA004142","2402:8100:4000:0:0:f:1f00:26c8","Slot 2 / Port 2","INKA005390_KBAN_I_C_I2C1","INKA005390","2402:8100:4000:0:0:f:1f00:26c7","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15327","14907","15117","14697","15341","14921","Disable","1","1","18","18","18","18","-38","-38","18","18","18","18","-37","-36","-43","-43","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","200.96","281","52","61","7","0","0","277","50","60","6","0","0","0","0","62","10","12","0","0","100","0","0","0","0","0","0","84353","64532","0","0","2047","21868","135","111","0","0","0","0","0","0"
"IDKL106300_CHRP_I_C_I2C1 - INKL034347_CHRP_I_C_I2C1","IDKL106300_CHRP_I_C_I2C1","IDKL106300","2402:8100:4000:0:0:1:1f40:3631","Slot 2 / Port 2","INKL034347_CHRP_I_C_I2C1","INKL034347","2402:8100:4000:0:0:1:1f40:3630","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15313","14893","15117","14697","15341","14921","Disable","1","1","20","20","9","9","-38","-39","9","9","9","9","-37","-37","-41","-41","mdN_A5656X_121_1502","mdN_A5656X_121_1502","Adaptive","N/A","9","0","0","0","0","0","86399","86400","0","0","0","0","489.311","489.311","672.601","672.601","672.601","464.85","402.86","75","366","12","120","0","0","72","359","11","118","0","0","0","0","7","38","0","11","0","0","0","0","0","0","0","0","62422","82201","0","0","23977","4199","258","223","0","0","0","0","0","0"
"IDKA104876_KBAN_I_C_I2C1 - IDKA107845_KBAN_I_C_I2C1","IDKA104876_KBAN_I_C_I2C1","IDKA104876","2402:8100:4000:0:0:f:1f00:26a3","Slot 2 / Port 2","IDKA107845_KBAN_I_C_I2C1","IDKA107845","2402:8100:4000:0:0:f:1f00:26a2","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14767","15187","14697","15117","14921","15341","Disable","1","1","18","18","5","5","-29","-30","5","5","5","5","-28","-29","-30","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","171","48","23","1","0","0","168","47","22","1","0","0","0","0","34","9","4","0","0","0","0","0","0","0","0","0","77539","8383","0","0","8860","78016","135","135","0","0","0","0","0","0"
"INKA008143_KBAN_I_C_I2C1 - INKA002934_KBAN_I_C_I2C2","INKA008143_KBAN_I_C_I2C1","INKA008143","2402:8100:4000:0:0:f:1f00:38c","Slot 2 / Port 2","INKA002934_KBAN_I_C_I2C2","N/A","2402:8100:4000:0:0:f:1f00:38b","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14739","15159","14697","15117","14921","15341","Disable","1","1","20","20","7","7","-39","-42","7","7","7","7","-38","-41","-42","-44","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","7","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","200.96","40.97","49","132","2","22","70832","80787","48","130","1","21","0","0","69063","80559","60","32","3","4","0","0","0","0","0","0","0","0","78691","77200","0","0","7708","9200","111","22","0","0","0","0","0","0"
"INKL202154_CHPN_I_C_I2C1 - INKL022250_CHPN_I_C_I2C1","INKL202154_CHPN_I_C_I2C1","INKL022250","2402:8100:4000:0:0:1:1f40:1d81","Slot 2 / Port 2","INKL022250_CHPN_I_C_I2C1","INKL022250","2402:8100:4000:0:0:1:1f40:1d80","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14543","14963","14501","14921","14725","15145","Disable","1","1","20","20","15","15","-31","-31","15","15","15","15","-30","-30","-33","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","57","378","14","127","0","0","55","372","13","125","0","0","0","0","12","82","2","27","0","0","0","0","0","0","0","0","74555","86200","0","0","11844","199","125","125","0","0","0","0","0","0"
"INKL080350_KALI_I_C_I2C1 - IDKL106469_KALI_I_C_I2C1","INKL080350_KALI_I_C_I2C1","INKL080350","2402:8100:4000:0:0:1:1f40:4b1","Slot 2 / Port 1","IDKL106469_KALI_I_C_I2C1","IDKL106469","2402:8100:4000:0:0:1:1f40:4b0","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14893","15313","14697","15117","14921","15341","Disable","1","1","20","20","15","15","-32","-34","15","15","15","15","-31","-32","-33","-35","mdN_A5656X_121_1502","mdN_A5656X_121_1502","Adaptive","N/A","7","0","0","0","0","0","86400","86400","0","0","0","0","489.311","489.311","672.601","672.601","672.601","402.86","402.86","53","362","15","137","0","0","50","356","13","134","0","0","0","0","6","44","1","15","0","0","0","0","0","0","0","0","67278","83532","0","0","19122","2868","223","223","0","0","0","0","0","0"
"INKA000525_KBAN_I_C_I2C2 - INKA007347_KBAN_I_C_I2C1","INKA000525_KBAN_I_C_I2C2","INKA000525","2402:8100:4000:0:0:f:1f00:6e5","Slot 2 / Port 1","INKA007347_KBAN_I_C_I2C1","INKA007347","2402:8100:4000:0:0:f:1f00:6e4","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14767","15187","14697","15117","14921","15341","Disable","1","1","18","18","5","5","-32","-31","5","5","5","5","-31","-30","-33","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","252","44","16","1","81916","0","248","44","15","0","0","0","81677","0","51","9","2","0","0","0","0","0","0","0","0","0","72834","3809","0","0","13566","82590","135","135","0","0","0","0","0","0"
"IDKL104346_KLLA_I_C_I2C1 - INKL209918_KLLA_I_C_I2C1","IDKL104346_KLLA_I_C_I2C1","IDKL104346","2402:8100:4000:0:0:1:1f40:1521","Slot 2 / Port 1","INKL209918_KLLA_I_C_I2C1","INKL209918","2402:8100:4000:0:0:1:1f40:1520","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14543","14963","14515","14935","14711","15131","Disable","1","1","18","18","17","17","-30","-30","17","17","17","17","-29","-30","-94","-93","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","73800","72000","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","354","82","106","13","0","0","348","78","104","11","0","0","66600","67982","72","16","20","1","100","100","0","0","0","0","0","0","84461","72391","0","0","1039","13108","135","135","0","0","0","0","0","0"
"INKL301913_EDAK_I_C_I2C1 - INKL047811_EDAR_I_C_I2C1","INKL301913_EDAK_I_C_I2C1","INKL301913","2402:8100:4000:0:0:1:1f40:971","Slot 2 / Port 2","INKL047811_EDAR_I_C_I2C1","INKL047811","2402:8100:4000:0:0:1:1f40:970","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15299","14879","15117","14697","15341","14921","Disable","1","1","20","20","18","18","-33","-33","18","18","18","18","-31","-31","-35","-35","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","44","375","7","73","0","0","42","369","7","71","0","0","0","0","9","81","0","15","0","0","0","0","0","0","0","0","66796","81405","0","0","19604","4994","125","125","0","0","0","0","0","0"
